date,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2022-11-06,20627.48000000,20627.48000000,21480.65000000,21480.65000000,20031.24000000,20031.24000000,20905.58000000,20905.58000000,2205754.83045000,2205754.83045000
2022-10-30,19570.40000000,19570.40000000,21085.00000000,21085.00000000,19157.00000000,19157.00000000,20627.48000000,20627.48000000,2026392.42105000,2026392.42105000
2022-10-23,19262.98000000,19262.98000000,19706.66000000,19706.66000000,18650.00000000,18650.00000000,19570.40000000,19570.40000000,1439566.24878000,1439566.24878000
2022-10-16,19439.96000000,19439.96000000,19951.87000000,19951.87000000,18190.00000000,18190.00000000,19262.98000000,19262.98000000,1666942.47921000,1666942.47921000
2022-10-09,19057.74000000,19057.74000000,20475.00000000,20475.00000000,18959.68000000,18959.68000000,19439.02000000,19439.02000000,1690215.44019000,1690215.44019000
2022-10-02,18809.13000000,18809.13000000,20385.86000000,20385.86000000,18471.28000000,18471.28000000,19056.80000000,19056.80000000,2777070.91238000,2777070.91238000
2022-09-25,19417.45000000,19417.45000000,19956.00000000,19956.00000000,18125.98000000,18125.98000000,18807.38000000,18807.38000000,2285541.48793000,2285541.48793000
2022-09-18,21826.87000000,21826.87000000,22799.00000000,22799.00000000,19320.01000000,19320.01000000,19416.18000000,19416.18000000,2218565.59694000,2218565.59694000
2022-09-11,20000.30000000,20000.30000000,21860.00000000,21860.00000000,18510.77000000,18510.77000000,21826.87000000,21826.87000000,2146685.76233000,2146685.76233000
2022-09-04,19555.61000000,19555.61000000,20576.25000000,20576.25000000,19540.00000000,19540.00000000,20000.30000000,20000.30000000,1527594.84529000,1527594.84529000
2022-08-28,21516.70000000,21516.70000000,21900.00000000,21900.00000000,19520.00000000,19520.00000000,19555.61000000,19555.61000000,1343190.86000000,1343190.86000000
2022-08-21,24305.25000000,24305.25000000,25211.32000000,25211.32000000,20761.90000000,20761.90000000,21515.61000000,21515.61000000,1402957.39876000,1402957.39876000
2022-08-14,23174.39000000,23174.39000000,25047.56000000,25047.56000000,22664.69000000,22664.69000000,24305.24000000,24305.24000000,1251083.26468000,1251083.26468000
2022-08-07,23296.36000000,23296.36000000,23647.68000000,23647.68000000,22400.00000000,22400.00000000,23174.39000000,23174.39000000,951140.43388000,951140.43388000
2022-07-31,22577.13000000,22577.13000000,24668.00000000,24668.00000000,20706.50000000,20706.50000000,23293.32000000,23293.32000000,1282264.24492000,1282264.24492000
2022-07-24,20799.58000000,20799.58000000,24276.74000000,24276.74000000,20762.45000000,20762.45000000,22579.68000000,22579.68000000,1336219.23609000,1336219.23609000
2022-07-17,20861.11000000,20861.11000000,21684.54000000,21684.54000000,18910.94000000,18910.94000000,20798.16000000,20798.16000000,1043685.76303000,1043685.76303000
2022-07-10,19315.83000000,19315.83000000,22527.37000000,22527.37000000,19055.31000000,19055.31000000,20862.47000000,20862.47000000,1111996.98071000,1111996.98071000
2022-07-03,21038.08000000,21038.08000000,21539.85000000,21539.85000000,18626.00000000,18626.00000000,19315.83000000,19315.83000000,508544.13970000,508544.13970000
2022-06-26,20574.00000000,20574.00000000,21888.00000000,21888.00000000,19637.03000000,19637.03000000,21038.07000000,21038.07000000,570801.23178000,570801.23178000
2022-06-19,26574.53000000,26574.53000000,26895.84000000,26895.84000000,17622.00000000,17622.00000000,20574.00000000,20574.00000000,1153717.63753700,1153717.63753700
2022-06-12,29919.20000000,29919.20000000,31765.64000000,31765.64000000,26560.00000000,26560.00000000,26574.53000000,26574.53000000,528925.48795900,528925.48795900
2022-06-05,29468.10000000,29468.10000000,32399.00000000,32399.00000000,29282.36000000,29282.36000000,29919.21000000,29919.21000000,422401.40352000,422401.40352000
2022-05-29,30293.93000000,30293.93000000,30670.51000000,30670.51000000,28019.56000000,28019.56000000,29468.10000000,29468.10000000,430508.71991000,430508.71991000
2022-05-22,31328.89000000,31328.89000000,31328.90000000,31328.90000000,28654.47000000,28654.47000000,30293.94000000,30293.94000000,375096.22376000,375096.22376000
2022-05-15,34038.39000000,34038.39000000,34243.15000000,34243.15000000,26700.00000000,26700.00000000,31328.89000000,31328.89000000,964223.84927400,964223.84927400
2022-05-08,38468.35000000,38468.35000000,40023.77000000,40023.77000000,33713.95000000,33713.95000000,34038.40000000,34038.40000000,419979.58290000,419979.58290000
2022-05-01,39450.12000000,39450.12000000,40797.31000000,40797.31000000,37386.38000000,37386.38000000,38468.35000000,38468.35000000,368444.26814000,368444.26814000
2022-04-24,39678.11000000,39678.11000000,42976.00000000,42976.00000000,38536.51000000,38536.51000000,39450.13000000,39450.13000000,283885.03637000,283885.03637000
2022-04-17,42158.85000000,42158.85000000,42414.71000000,42414.71000000,39200.00000000,39200.00000000,39678.12000000,39678.12000000,259281.04870000,259281.04870000
2022-04-10,46407.36000000,46407.36000000,47200.00000000,47200.00000000,41868.00000000,41868.00000000,42158.85000000,42158.85000000,268118.29111000,268118.29111000
2022-04-03,46827.76000000,46827.76000000,48189.84000000,48189.84000000,44200.00000000,44200.00000000,46407.35000000,46407.35000000,312053.15964000,312053.15964000
2022-03-27,41262.11000000,41262.11000000,46999.00000000,46999.00000000,40467.94000000,40467.94000000,46827.76000000,46827.76000000,315436.15044000,315436.15044000
2022-03-20,37777.35000000,37777.35000000,42400.00000000,42400.00000000,37555.00000000,37555.00000000,41262.11000000,41262.11000000,323399.67100000,323399.67100000
2022-03-13,38420.80000000,38420.80000000,42594.06000000,42594.06000000,37155.00000000,37155.00000000,37777.34000000,37777.34000000,374777.65361000,374777.65361000
2022-03-06,37699.08000000,37699.08000000,45400.00000000,45400.00000000,37450.17000000,37450.17000000,38420.81000000,38420.81000000,376417.07830000,376417.07830000
2022-02-27,38386.89000000,38386.89000000,40348.45000000,40348.45000000,34322.28000000,34322.28000000,37699.07000000,37699.07000000,412335.93267000,412335.93267000
2022-02-20,42053.65000000,42053.65000000,44751.40000000,44751.40000000,38000.00000000,38000.00000000,38386.89000000,38386.89000000,243150.46162000,243150.46162000
2022-02-13,42380.87000000,42380.87000000,45821.00000000,45821.00000000,41645.85000000,41645.85000000,42053.66000000,42053.66000000,301990.47877000,301990.47877000
2022-02-06,37881.75000000,37881.75000000,42656.00000000,42656.00000000,36250.00000000,36250.00000000,42380.87000000,42380.87000000,258946.95322000,258946.95322000
2022-01-30,36244.55000000,36244.55000000,38919.98000000,38919.98000000,32917.17000000,32917.17000000,37881.76000000,37881.76000000,353702.62639100,353702.62639100
2022-01-23,43071.66000000,43071.66000000,43505.00000000,43505.00000000,34008.00000000,34008.00000000,36244.55000000,36244.55000000,354513.98432000,354513.98432000
2022-01-16,41864.62000000,41864.62000000,44500.00000000,44500.00000000,39650.00000000,39650.00000000,43071.66000000,43071.66000000,232059.06969000,232059.06969000
2022-01-09,47286.18000000,47286.18000000,47570.00000000,47570.00000000,40501.00000000,40501.00000000,41864.62000000,41864.62000000,264331.61587000,264331.61587000
2022-01-02,50775.48000000,50775.48000000,52088.00000000,52088.00000000,45678.00000000,45678.00000000,47286.18000000,47286.18000000,217379.64220000,217379.64220000
2021-12-26,46681.24000000,46681.24000000,51810.00000000,51810.00000000,45558.85000000,45558.85000000,50775.49000000,50775.49000000,209149.42595000,209149.42595000
2021-12-19,50053.90000000,50053.90000000,50189.97000000,50189.97000000,45456.00000000,45456.00000000,46681.23000000,46681.23000000,271834.80183000,271834.80183000
2021-12-12,49396.32000000,49396.32000000,51936.33000000,51936.33000000,46751.00000000,46751.00000000,50053.90000000,50053.90000000,272083.99753000,272083.99753000
2021-12-05,57274.89000000,57274.89000000,59176.99000000,59176.99000000,42000.30000000,42000.30000000,49396.33000000,49396.33000000,390528.91248800,390528.91248800
2021-11-28,58617.70000000,58617.70000000,59444.00000000,59444.00000000,53256.64000000,53256.64000000,57274.88000000,57274.88000000,315216.31943000,315216.31943000
2021-11-21,65519.11000000,65519.11000000,66401.82000000,66401.82000000,55600.00000000,55600.00000000,58622.02000000,58622.02000000,340150.61676000,340150.61676000
2021-11-14,63273.58000000,63273.58000000,69000.00000000,69000.00000000,62278.00000000,62278.00000000,65519.10000000,65519.10000000,294213.11270800,294213.11270800
2021-11-07,61299.81000000,61299.81000000,64270.00000000,64270.00000000,59405.00000000,59405.00000000,63273.59000000,63273.59000000,253033.72432000,253033.72432000
2021-10-31,60852.22000000,60852.22000000,63710.63000000,63710.63000000,57820.00000000,57820.00000000,61299.80000000,61299.80000000,314971.84980000,314971.84980000
2021-10-24,61528.32000000,61528.32000000,67000.00000000,67000.00000000,59510.63000000,59510.63000000,60852.22000000,60852.22000000,336367.00881000,336367.00881000
2021-10-17,54659.01000000,54659.01000000,62933.00000000,62933.00000000,53879.00000000,53879.00000000,61528.33000000,61528.33000000,362346.26317400,362346.26317400
2021-10-10,48200.01000000,48200.01000000,56561.31000000,56561.31000000,46891.00000000,46891.00000000,54659.00000000,54659.00000000,424292.25859900,424292.25859900
2021-10-03,43160.90000000,43160.90000000,49228.08000000,49228.08000000,40753.88000000,40753.88000000,48200.01000000,48200.01000000,290620.78115000,290620.78115000
2021-09-26,47241.75000000,47241.75000000,47347.25000000,47347.25000000,39600.00000000,39600.00000000,43160.90000000,43160.90000000,437174.23273000,437174.23273000
2021-09-19,46025.23000000,46025.23000000,48843.20000000,48843.20000000,43370.00000000,43370.00000000,47241.75000000,47241.75000000,289430.44387000,289430.44387000
2021-09-12,51756.88000000,51756.88000000,52920.00000000,52920.00000000,42843.05000000,42843.05000000,46025.24000000,46025.24000000,399602.39982000,399602.39982000
2021-09-05,48767.84000000,48767.84000000,51900.00000000,51900.00000000,46512.00000000,46512.00000000,51756.88000000,51756.88000000,327484.44363800,327484.44363800
2021-08-29,49239.22000000,49239.22000000,50500.00000000,50500.00000000,46250.00000000,46250.00000000,48767.83000000,48767.83000000,298905.69704200,298905.69704200
2021-08-22,46973.82000000,46973.82000000,49757.04000000,49757.04000000,43927.70000000,43927.70000000,49239.22000000,49239.22000000,357634.46215500,357634.46215500
2021-08-15,43794.36000000,43794.36000000,48144.00000000,48144.00000000,42779.00000000,42779.00000000,46973.82000000,46973.82000000,372867.97981100,372867.97981100
2021-08-08,39850.27000000,39850.27000000,45310.00000000,45310.00000000,37332.70000000,37332.70000000,43794.37000000,43794.37000000,463107.67071100,463107.67071100
2021-08-01,35381.02000000,35381.02000000,42599.00000000,42599.00000000,35205.78000000,35205.78000000,39845.44000000,39845.44000000,568598.50960600,568598.50960600
2021-07-25,31778.57000000,31778.57000000,35398.00000000,35398.00000000,29278.00000000,29278.00000000,35381.02000000,35381.02000000,383262.21715400,383262.21715400
2021-07-18,34259.00000000,34259.00000000,34678.43000000,34678.43000000,31020.00000000,31020.00000000,31778.56000000,31778.56000000,306160.98707900,306160.98707900
2021-07-11,35288.13000000,35288.13000000,35293.78000000,35293.78000000,32077.00000000,32077.00000000,34258.99000000,34258.99000000,359766.23540400,359766.23540400
2021-07-04,34702.49000000,34702.49000000,36600.00000000,36600.00000000,32699.00000000,32699.00000000,35286.51000000,35286.51000000,464791.76359300,464791.76359300
2021-06-27,35600.17000000,35600.17000000,35750.00000000,35750.00000000,28805.00000000,28805.00000000,34700.34000000,34700.34000000,907073.70759800,907073.70759800
2021-06-20,39020.56000000,39020.56000000,41330.00000000,41330.00000000,33336.00000000,33336.00000000,35600.16000000,35600.16000000,610333.96208900,610333.96208900
2021-06-13,35796.31000000,35796.31000000,39380.00000000,39380.00000000,31000.00000000,31000.00000000,39020.57000000,39020.57000000,700065.60491500,700065.60491500
2021-06-06,35641.26000000,35641.26000000,39476.00000000,39476.00000000,34153.84000000,34153.84000000,35796.31000000,35796.31000000,528299.50493700,528299.50493700
2021-05-30,34681.44000000,34681.44000000,40841.00000000,40841.00000000,33379.00000000,33379.00000000,35641.27000000,35641.27000000,786531.16394100,786531.16394100
2021-05-23,46426.83000000,46426.83000000,46686.00000000,46686.00000000,30000.00000000,30000.00000000,34655.25000000,34655.25000000,1386781.05214400,1386781.05214400
2021-05-16,58240.83000000,58240.83000000,59500.00000000,59500.00000000,43825.39000000,43825.39000000,46431.50000000,46431.50000000,684880.14819700,684880.14819700
2021-05-09,56578.21000000,56578.21000000,59500.00000000,59500.00000000,52900.00000000,52900.00000000,58240.84000000,58240.84000000,504478.92630300,504478.92630300
2021-05-02,49066.76000000,49066.76000000,58458.07000000,58458.07000000,48753.44000000,48753.44000000,56578.21000000,56578.21000000,395983.45601300,395983.45601300
2021-04-25,56150.01000000,56150.01000000,57526.81000000,57526.81000000,46930.00000000,46930.00000000,49066.77000000,49066.77000000,568462.85096000,568462.85096000
2021-04-18,59998.80000000,59998.80000000,64854.00000000,64854.00000000,50931.30000000,50931.30000000,56150.01000000,56150.01000000,549048.29803200,549048.29803200
2021-04-11,58202.01000000,58202.01000000,61500.00000000,61500.00000000,55473.00000000,55473.00000000,60002.43000000,60002.43000000,375865.59361400,375865.59361400
2021-04-04,55777.65000000,55777.65000000,60200.00000000,60200.00000000,54800.01000000,54800.01000000,58202.01000000,58202.01000000,367477.89327300,367477.89327300
2021-03-28,57351.56000000,57351.56000000,58430.73000000,58430.73000000,50427.56000000,50427.56000000,55777.63000000,55777.63000000,446278.62841300,446278.62841300
2021-03-21,58976.08000000,58976.08000000,60633.43000000,60633.43000000,53271.34000000,53271.34000000,57351.56000000,57351.56000000,463194.21418000,463194.21418000
2021-03-14,50959.11000000,50959.11000000,61844.00000000,61844.00000000,49274.67000000,49274.67000000,58968.31000000,58968.31000000,514559.69868500,514559.69868500
2021-03-07,45134.11000000,45134.11000000,52640.00000000,52640.00000000,44950.53000000,44950.53000000,50971.75000000,50971.75000000,490819.56296800,490819.56296800
2021-02-28,57412.35000000,57412.35000000,57508.47000000,57508.47000000,43000.00000000,43000.00000000,45135.66000000,45135.66000000,737125.74636500,737125.74636500
2021-02-21,48580.47000000,48580.47000000,58352.80000000,58352.80000000,45570.79000000,45570.79000000,57408.57000000,57408.57000000,533487.79969900,533487.79969900
2021-02-14,38795.69000000,38795.69000000,49707.43000000,49707.43000000,37988.89000000,37988.89000000,48577.79000000,48577.79000000,664186.27090900,664186.27090900
2021-02-07,33092.97000000,33092.97000000,40955.51000000,40955.51000000,32296.16000000,32296.16000000,38795.69000000,38795.69000000,583442.33154400,583442.33154400
2021-01-31,32259.45000000,32259.45000000,38531.90000000,38531.90000000,29241.72000000,29241.72000000,33092.98000000,33092.98000000,747463.50850900,747463.50850900
2021-01-24,35824.99000000,35824.99000000,37850.00000000,37850.00000000,28850.00000000,28850.00000000,32259.90000000,32259.90000000,640226.93578500,640226.93578500
2021-01-17,38150.02000000,38150.02000000,40100.00000000,40100.00000000,30420.00000000,30420.00000000,35828.61000000,35828.61000000,897339.67445000,897339.67445000
2021-01-10,33000.05000000,33000.05000000,41950.00000000,41950.00000000,28130.00000000,28130.00000000,38150.02000000,38150.02000000,850700.26615200,850700.26615200
2021-01-03,26281.54000000,26281.54000000,34778.11000000,34778.11000000,25880.00000000,25880.00000000,33000.05000000,33000.05000000,625132.26320300,625132.26320300
2020-12-27,23455.54000000,23455.54000000,28422.00000000,28422.00000000,21815.00000000,21815.00000000,26281.66000000,26281.66000000,688906.56055700,688906.56055700
2020-12-20,19174.99000000,19174.99000000,24295.00000000,24295.00000000,19000.00000000,19000.00000000,23455.52000000,23455.52000000,650661.72430000,650661.72430000
2020-12-13,19358.67000000,19358.67000000,19420.91000000,19420.91000000,17572.33000000,17572.33000000,19174.99000000,19174.99000000,414166.99723700,414166.99723700
2020-12-06,18185.00000000,18185.00000000,19888.00000000,19888.00000000,18001.12000000,18001.12000000,19359.40000000,19359.40000000,537012.14293100,537012.14293100
2020-11-29,18413.88000000,18413.88000000,19484.21000000,19484.21000000,16188.00000000,16188.00000000,18184.99000000,18184.99000000,676351.57997400,676351.57997400
2020-11-22,15957.00000000,15957.00000000,18965.90000000,18965.90000000,15864.00000000,15864.00000000,18414.43000000,18414.43000000,684197.64282900,684197.64282900
2020-11-15,15475.10000000,15475.10000000,16480.00000000,16480.00000000,14805.54000000,14805.54000000,15957.00000000,15957.00000000,529729.42649600,529729.42649600
2020-11-08,13761.49000000,13761.49000000,15960.00000000,15960.00000000,13195.05000000,13195.05000000,15475.10000000,15475.10000000,665037.14645200,665037.14645200
2020-11-01,13029.64000000,13029.64000000,14100.00000000,14100.00000000,12765.00000000,12765.00000000,13761.50000000,13761.50000000,485358.52171600,485358.52171600
2020-10-25,11503.14000000,11503.14000000,13350.00000000,13350.00000000,11407.96000000,11407.96000000,13028.83000000,13028.83000000,418993.35468100,418993.35468100
2020-10-18,11369.02000000,11369.02000000,11720.01000000,11720.01000000,11172.00000000,11172.00000000,11503.14000000,11503.14000000,279657.09704700,279657.09704700
2020-10-11,10666.62000000,10666.62000000,11491.00000000,11491.00000000,10525.00000000,10525.00000000,11369.02000000,11369.02000000,288404.14549400,288404.14549400
2020-10-04,10774.26000000,10774.26000000,10950.00000000,10950.00000000,10374.00000000,10374.00000000,10666.63000000,10666.63000000,288073.12698900,288073.12698900
2020-09-27,10920.28000000,10920.28000000,10988.86000000,10988.86000000,10136.82000000,10136.82000000,10774.25000000,10774.25000000,331299.29108100,331299.29108100
2020-09-20,10332.84000000,10332.84000000,11179.79000000,11179.79000000,10212.34000000,10212.34000000,10920.28000000,10920.28000000,374339.55881400,374339.55881400
2020-09-13,10255.89000000,10255.89000000,10580.11000000,10580.11000000,9850.00000000,9850.00000000,10332.83000000,10332.83000000,366759.99404800,366759.99404800
2020-09-06,11711.17000000,11711.17000000,12050.85000000,12050.85000000,9825.00000000,9825.00000000,10256.20000000,10256.20000000,581777.75652500,581777.75652500
2020-08-30,11648.12000000,11648.12000000,11824.90000000,11824.90000000,11117.64000000,11117.64000000,11711.16000000,11711.16000000,355153.16937200,355153.16937200
2020-08-23,11910.99000000,11910.99000000,12468.00000000,12468.00000000,11376.81000000,11376.81000000,11648.13000000,11648.13000000,426710.48350200,426710.48350200
2020-08-16,11681.69000000,11681.69000000,12067.35000000,12067.35000000,11125.00000000,11125.00000000,11911.00000000,11911.00000000,468167.72232000,468167.72232000
2020-08-09,11071.36000000,11071.36000000,11909.94000000,11909.94000000,10936.00000000,10936.00000000,11681.68000000,11681.68000000,403167.45146000,403167.45146000
2020-08-02,9931.54000000,9931.54000000,12123.46000000,12123.46000000,9917.21000000,9917.21000000,11071.35000000,11071.35000000,637793.81172400,637793.81172400
2020-07-26,9208.99000000,9208.99000000,10111.00000000,10111.00000000,9131.00000000,9131.00000000,9931.54000000,9931.54000000,346433.53511500,346433.53511500
2020-07-19,9303.31000000,9303.31000000,9343.82000000,9343.82000000,9047.25000000,9047.25000000,9208.99000000,9208.99000000,247602.69209500,247602.69209500
2020-07-12,9069.41000000,9069.41000000,9470.00000000,9470.00000000,9055.92000000,9055.92000000,9302.75000000,9302.75000000,284964.99967300,284964.99967300
2020-07-05,9116.16000000,9116.16000000,9292.00000000,9292.00000000,8893.03000000,8893.03000000,9069.41000000,9069.41000000,247256.19512500,247256.19512500
2020-06-28,9294.69000000,9294.69000000,9780.00000000,9780.00000000,8833.00000000,8833.00000000,9116.35000000,9116.35000000,343601.08315400,343601.08315400
2020-06-21,9342.10000000,9342.10000000,9589.00000000,9589.00000000,8910.45000000,8910.45000000,9294.69000000,9294.69000000,323565.71184200,323565.71184200
2020-06-14,9746.99000000,9746.99000000,9992.72000000,9992.72000000,9113.00000000,9113.00000000,9342.10000000,9342.10000000,336172.77151700,336172.77151700
2020-06-07,9448.27000000,9448.27000000,10380.00000000,10380.00000000,9266.00000000,9266.00000000,9746.99000000,9746.99000000,427822.49534700,427822.49534700
